,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
State_0,0.9080459770114943,0.011494252873563218,0.0038314176245210726,0.0,0.007662835249042145,0.0038314176245210726,0.0,0.0038314176245210726,0.04597701149425287,0.0038314176245210726,0.011494252873563218
State_1,0.0014776505356483192,0.9948282231252309,0.0,0.0,0.0,0.0,0.0,0.0,0.003694126339120798,0.0,0.0
State_2,0.010752688172043012,0.0,0.8870967741935484,0.0,0.016129032258064516,0.0,0.043010752688172046,0.010752688172043012,0.021505376344086023,0.005376344086021506,0.005376344086021506
State_3,0.0,0.0,0.0,0.9904988123515439,0.0,0.0,0.0,0.0,0.009501187648456057,0.0,0.0
State_4,0.029411764705882353,0.0,0.0392156862745098,0.0,0.7549019607843137,0.0,0.00980392156862745,0.00980392156862745,0.06862745098039216,0.0784313725490196,0.00980392156862745
State_5,0.0,0.0,0.0,0.0,0.006289308176100629,0.9937106918238994,0.0,0.0,0.0,0.0,0.0
State_6,0.0030303030303030303,0.0,0.024242424242424242,0.0,0.0030303030303030303,0.0,0.9454545454545454,0.015151515151515152,0.006060606060606061,0.0,0.0030303030303030303
State_7,0.004975124378109453,0.0,0.0024875621890547263,0.0,0.0024875621890547263,0.0,0.012437810945273632,0.972636815920398,0.0,0.0,0.004975124378109453
State_8,0.019553072625698324,0.030726256983240222,0.019553072625698324,0.0111731843575419,0.019553072625698324,0.0,0.008379888268156424,0.002793296089385475,0.888268156424581,0.0,0.0
State_9,0.009966777408637873,0.0,0.0,0.0,0.026578073089700997,0.0,0.0,0.0,0.0,0.9634551495016611,0.0
State_10,0.012269938650306749,0.0,0.0,0.0,0.012269938650306749,0.0,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.950920245398773
