state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.048414023372287146,8.7,24,0.3625
state_1,0.5021331849378594,90.23333333333333,14,6.445238095238095
state_2,0.03450194769059544,6.2,21,0.29523809523809524
state_3,0.07809311815989613,14.033333333333333,4,3.5083333333333333
state_4,0.018920422927100722,3.4,25,0.136
state_5,0.02949360044518642,5.3,1,5.3
state_6,0.061398627341866074,11.033333333333333,19,0.5807017543859649
state_7,0.07456872565386756,13.4,11,1.2181818181818183
state_8,0.06640697458727508,11.933333333333334,40,0.2983333333333333
state_9,0.05583379706918939,10.033333333333333,11,0.9121212121212121
state_10,0.030235577814876645,5.433333333333334,8,0.6791666666666667
