state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.022056490003173595,4.633333333333334,64,0.07239583333333334
state_1,0.05474452554744526,11.5,83,0.13855421686746988
state_2,0.23500476039352586,49.36666666666667,69,0.7154589371980676
state_3,0.0512535702951444,10.766666666666667,45,0.23925925925925925
state_4,0.10520469692161219,22.1,35,0.6314285714285715
state_5,0.19343065693430658,40.63333333333333,45,0.902962962962963
state_6,0.05204696921612187,10.933333333333334,13,0.841025641025641
state_7,0.055220564900031736,11.6,195,0.05948717948717949
state_8,0.04506505871152015,9.466666666666667,15,0.6311111111111111
state_9,0.09854014598540146,20.7,43,0.4813953488372093
state_10,0.08743256109171692,18.366666666666667,71,0.25868544600938964
