,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9
State_0,0.998681608437706,0.0,0.0,0.0,0.0013183915622940012,0.0,0.0,0.0,0.0,0.0
State_1,0.0,0.9076923076923077,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.046153846153846156
State_2,0.0,0.0056179775280898875,0.9550561797752809,0.033707865168539325,0.0,0.0,0.0056179775280898875,0.0,0.0,0.0
State_3,0.0,0.0008741258741258741,0.0034965034965034965,0.9825174825174825,0.0017482517482517483,0.0,0.007867132867132868,0.0,0.0008741258741258741,0.0026223776223776225
State_4,0.0025974025974025974,0.0,0.005194805194805195,0.005194805194805195,0.9792207792207792,0.0,0.0,0.0,0.007792207792207792,0.0
State_5,0.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.004081632653061225,0.02857142857142857,0.00816326530612245,0.0
State_6,0.0,0.0020161290322580645,0.004032258064516129,0.016129032258064516,0.0,0.0,0.9737903225806451,0.0020161290322580645,0.0,0.0020161290322580645
State_7,0.0,0.0021231422505307855,0.0,0.0021231422505307855,0.0,0.014861995753715499,0.0021231422505307855,0.9596602972399151,0.004246284501061571,0.014861995753715499
State_8,0.0,0.0,0.0,0.0,0.0026785714285714286,0.0026785714285714286,0.0,0.0017857142857142857,0.9928571428571429,0.0
State_9,0.0,0.0029411764705882353,0.0,0.004411764705882353,0.0,0.0,0.0014705882352941176,0.011764705882352941,0.0,0.9794117647058823
