state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.19733432062199185,35.53333333333333,4,8.883333333333333
state_1,0.23861532765642354,42.96666666666667,2,21.483333333333334
state_2,0.10199925953350611,18.366666666666667,2,9.183333333333334
state_3,0.01647537948907812,2.966666666666667,8,0.37083333333333335
state_4,0.014809329877823029,2.6666666666666665,2,1.3333333333333333
state_5,0.023509811181044057,4.233333333333333,12,0.3527777777777778
state_6,0.09718622732321362,17.5,5,3.5
state_7,0.15901517956312478,28.633333333333333,2,14.316666666666666
state_8,0.025175860792299148,4.533333333333333,4,1.1333333333333333
state_9,0.03369122547204739,6.066666666666666,15,0.40444444444444444
state_10,0.024435394298407995,4.4,7,0.6285714285714286
state_11,0.06775268419104036,12.2,8,1.525
