,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11
State_0,0.9962476547842402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375234521575985,0.0,0.0
State_1,0.0007757951900698216,0.9984484096198604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007757951900698216
State_2,0.0,0.0,0.9963702359346642,0.0018148820326678765,0.0,0.0018148820326678765,0.0,0.0,0.0,0.0,0.0,0.0
State_3,0.0,0.0,0.0,0.9204545454545454,0.011363636363636364,0.022727272727272728,0.0,0.0,0.011363636363636364,0.022727272727272728,0.0,0.011363636363636364
State_4,0.0,0.0,0.0,0.025,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_5,0.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.905511811023622,0.0,0.0,0.007874015748031496,0.007874015748031496,0.023622047244094488,0.03937007874015748
State_6,0.0,0.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.0,0.0038095238095238095,0.005714285714285714,0.0,0.0
State_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976717112922002,0.0,0.002328288707799767,0.0,0.0
State_8,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.014705882352941176,0.0,0.9705882352941176,0.0,0.0,0.0
State_9,0.016483516483516484,0.005494505494505495,0.0,0.0,0.005494505494505495,0.0,0.016483516483516484,0.01098901098901099,0.0,0.9175824175824175,0.02197802197802198,0.005494505494505495
State_10,0.0,0.0,0.0,0.007575757575757576,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.946969696969697,0.0
State_11,0.0,0.00273224043715847,0.0,0.00546448087431694,0.0,0.01366120218579235,0.0,0.0,0.0,0.0,0.0,0.9781420765027322
