state,heuristic_label,context_A_frac,context_B_frac,context_C_frac,mean_centroid_speed,median_centroid_speed,mean_angular_vel,median_angular_vel,mean_body_length_px,median_body_length_px,mean_elongation,median_elongation,mean_entropy,median_entropy,mean_bout_dur_sec,median_bout_dur_sec,n_bouts
0,state_0: mixed (candidate),0.0041733727831988095,0.0018570185729531578,0.0,4.0560736656188965,2.8504934310913086,0.05568347126245499,0.03372460603713989,109.16716766357422,106.74874877929688,2.6875545978546143,2.7373504638671875,1.2980645895004272,1.2995425462722778,3.2195,1.25,40
1,state_1: mixed (candidate),0.0002335588421894664,0.014452728893770068,0.0,3.671976327896118,3.0385658740997314,0.16022998094558716,0.09046913683414459,103.71415710449219,110.70714569091797,1.7331191301345825,1.4171353578567505,1.111983060836792,1.0220744609832764,7.233333333333334,1.4,30
2,state_2: mixed (candidate),0.0027589214101437676,0.00659310662856107,0.0004635638791025364,5.113406181335449,3.186521291732788,0.5027721524238586,0.0927092656493187,103.19235229492188,106.1508560180664,1.6447640657424927,1.5186198949813843,1.1242706775665283,0.9718888401985168,2.901724137931035,1.385,58
3,state_3: grooming/comfort-like (candidate),0.0016915305546573076,0.00708856038180892,0.0001095696441515091,2.6693859100341797,1.8909845352172852,0.042677707970142365,0.027305610477924347,106.13639068603516,105.3255615234375,2.24849271774292,2.1971867084503174,1.536561131477356,1.3894931077957153,3.789210526315789,1.815,38
4,state_4: grooming/comfort-like (candidate),0.004712383845498639,2.290053610154321e-06,0.0,1.89192533493042,1.4570159912109375,0.033438265323638916,0.020656276494264603,128.04527282714844,129.40184020996094,2.0276784896850586,1.9871063232421875,1.6566929817199707,1.480788230895996,6.178421052631579,4.97,19
5,state_5: grooming/comfort-like (candidate),0.005358804571100253,0.003989838891924376,3.37199892096e-05,2.9514472484588623,2.388939380645752,0.030827416107058525,0.016911623999476433,124.05831909179688,124.06513977050781,3.3841025829315186,3.5146682262420654,1.4619932174682617,1.350407361984253,5.668749999999999,1.335,32
6,state_6: grooming/comfort-like (candidate),0.004621718268024397,0.0008793805862995246,0.0,3.6163392066955566,2.8270773887634277,0.06358911842107773,0.03930558264255524,113.94402313232422,114.04911804199219,2.2610719203948975,2.278219699859619,1.347756028175354,1.2748929262161255,2.8000000000000003,1.8,43
7,state_7: locomotion (candidate),0.015376489940178836,0.00035489757637300245,0.0,9.329239845275879,4.742324352264404,0.0799221619963646,0.03817267715930939,102.41907501220703,103.04937744140625,2.4687585830688477,2.2653794288635254,0.6866597533226013,0.4364221394062042,9.450000000000001,2.37,39
8,state_8: locomotion (candidate),0.0,0.008068667947234745,0.0,66.54298400878906,26.364744186401367,7.555087566375732,0.8357815742492676,20.18423843383789,10.717318534851074,1.2377479076385498,1.1843373775482178,0.07861340045928955,0.04812163859605789,9.063076923076922,0.83,13
9,state_9: locomotion (candidate),0.8175540076130507,0.8206572879500444,0.9785800673045081,96.99578857421875,43.397132873535156,4.159835338592529,0.5698359608650208,117.45614624023438,114.69026184082031,2.4939842224121094,2.3041529655456543,0.15722395479679108,0.05626234412193298,22.15671149144254,6.285,1636
