stem,start_frame,end_frame,duration_sec,context,mean_distance
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4084,4126,1.43,C,24.952
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4189,4196,0.27,C,24.388
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4307,4316,0.33,C,23.84
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4480,4488,0.3,C,23.494
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4514,4524,0.37,C,24.269
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4667,4675,0.3,C,22.84
20241115_Box_1_CFC_Day_2_(Context_C)_9009,4998,5004,0.23,C,23.783
20241115_Box_1_CFC_Day_2_(Context_C)_9009,5106,5111,0.2,C,23.733
20241115_Box_1_CFC_Day_2_(Context_C)_9009,5116,5129,0.47,C,24.745
20241115_Box_1_CFC_Day_2_(Context_C)_9009,5133,5139,0.23,C,24.355
20241115_Box_1_CFC_Day_2_(Context_C)_9009,5215,5220,0.2,C,23.363
20241115_Box_1_CFC_Day_2_(Context_C)_9009,5248,5253,0.2,C,23.426
20241115_Box_2_CFC_Day_2_(Context_C)_9002,53,61,0.3,C,23.527
20241115_Box_2_CFC_Day_2_(Context_C)_9002,1095,1100,0.2,C,22.877
20241115_Box_2_CFC_Day_2_(Context_C)_9002,1131,1139,0.3,C,23.701
20241115_Box_2_CFC_Day_2_(Context_C)_9002,1637,1643,0.23,C,24.181
20241115_Box_2_CFC_Day_2_(Context_C)_9002,2244,2255,0.4,C,24.632
20241115_Box_2_CFC_Day_2_(Context_C)_9002,2267,2274,0.27,C,24.357
20241115_Box_2_CFC_Day_2_(Context_C)_9002,3407,3415,0.3,C,23.59
20241115_Box_2_CFC_Day_2_(Context_C)_9002,3459,3464,0.2,C,23.451
20241115_Box_2_CFC_Day_2_(Context_C)_9002,3480,3485,0.2,C,23.391
20241115_Box_2_CFC_Day_2_(Context_C)_9002,3552,3558,0.23,C,23.138
20241115_Box_2_CFC_Day_2_(Context_C)_9002,4382,4391,0.33,C,23.041
20241115_Box_2_CFC_Day_2_(Context_C)_9002,4406,4415,0.33,C,23.106
20241115_Box_2_CFC_Day_2_(Context_C)_9002,5052,5065,0.47,C,24.361
20241115_Box_2_CFC_Day_2_(Context_C)_9002,5339,5345,0.23,C,23.288
20241115_Box_2_CFC_Day_2_(Context_C)_9004,65,88,0.8,C,25.261
20241115_Box_2_CFC_Day_2_(Context_C)_9004,103,111,0.3,C,23.486
20241115_Box_2_CFC_Day_2_(Context_C)_9004,125,130,0.2,C,23.616
20241115_Box_2_CFC_Day_2_(Context_C)_9004,359,368,0.33,C,23.834
20241115_Box_2_CFC_Day_2_(Context_C)_9004,388,394,0.23,C,24.676
20241115_Box_2_CFC_Day_2_(Context_C)_9004,499,513,0.5,C,25.332
20241115_Box_2_CFC_Day_2_(Context_C)_9004,556,567,0.4,C,23.74
20241115_Box_2_CFC_Day_2_(Context_C)_9004,582,594,0.43,C,23.519
20241115_Box_2_CFC_Day_2_(Context_C)_9004,625,630,0.2,C,23.886
20241115_Box_2_CFC_Day_2_(Context_C)_9004,894,906,0.43,C,25.643
20241115_Box_2_CFC_Day_2_(Context_C)_9004,910,917,0.27,C,23.36
20241115_Box_2_CFC_Day_2_(Context_C)_9004,924,934,0.37,C,24.771
20241115_Box_2_CFC_Day_2_(Context_C)_9004,938,952,0.5,C,24.091
20241115_Box_2_CFC_Day_2_(Context_C)_9004,973,982,0.33,C,24.447
20241115_Box_2_CFC_Day_2_(Context_C)_9004,986,993,0.27,C,23.849
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1072,1100,0.97,C,24.41
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1198,1204,0.23,C,24.322
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1209,1218,0.33,C,23.29
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1251,1265,0.5,C,24.29
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1267,1289,0.77,C,24.688
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1368,1373,0.2,C,24.882
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1649,1661,0.43,C,23.612
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1846,1864,0.63,C,23.773
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1927,1940,0.47,C,23.997
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1951,1974,0.8,C,23.869
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1979,1986,0.27,C,23.829
20241115_Box_2_CFC_Day_2_(Context_C)_9004,1990,2007,0.6,C,24.677
20241115_Box_2_CFC_Day_2_(Context_C)_9004,2009,2031,0.77,C,24.579
20241115_Box_2_CFC_Day_2_(Context_C)_9004,2054,2060,0.23,C,23.29
20241115_Box_2_CFC_Day_2_(Context_C)_9004,2075,2081,0.23,C,23.423
20241115_Box_2_CFC_Day_2_(Context_C)_9004,2499,2526,0.93,C,24.378
20241115_Box_2_CFC_Day_2_(Context_C)_9004,2941,2947,0.23,C,23.624
20241115_Box_2_CFC_Day_2_(Context_C)_9004,3322,3364,1.43,C,24.433
20241115_Box_2_CFC_Day_2_(Context_C)_9004,3406,3411,0.2,C,23.108
20241115_Box_2_CFC_Day_2_(Context_C)_9004,3434,3439,0.2,C,23.75
20241115_Box_2_CFC_Day_2_(Context_C)_9004,4190,4215,0.87,C,24.267
20241115_Box_2_CFC_Day_2_(Context_C)_9004,4223,4234,0.4,C,23.193
20241115_Box_2_CFC_Day_2_(Context_C)_9004,4727,4732,0.2,C,23.411
20241115_Box_2_CFC_Day_2_(Context_C)_9004,4924,4932,0.3,C,24.312
20241115_Box_2_CFC_Day_2_(Context_C)_9004,5287,5293,0.23,C,23.23
20241115_Box_2_CFC_Day_2_(Context_C)_9004,5381,5391,0.37,C,24.276
20241115_Box_2_CFC_Day_2_(Context_C)_9006,90,95,0.2,C,23.347
20241115_Box_2_CFC_Day_2_(Context_C)_9006,113,120,0.27,C,23.417
20241115_Box_2_CFC_Day_2_(Context_C)_9006,226,236,0.37,C,23.969
20241115_Box_2_CFC_Day_2_(Context_C)_9006,238,256,0.63,C,23.594
