,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
State_0,0.9315068493150684,0.0,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.0,0.0273972602739726,0.00684931506849315
State_1,0.002806361085126286,0.9859681945743686,0.002806361085126286,0.0009354536950420954,0.0018709073900841909,0.0,0.0037418147801683817,0.0,0.0,0.0,0.0018709073900841909
State_2,0.0,0.002105263157894737,0.9473684210526315,0.002105263157894737,0.0,0.0,0.002105263157894737,0.0,0.010526315789473684,0.021052631578947368,0.014736842105263158
State_3,0.0,0.0,0.0,0.9120879120879121,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.04395604395604396
State_4,0.0,0.014084507042253521,0.0,0.007042253521126761,0.9460093896713615,0.0,0.002347417840375587,0.0,0.0,0.0,0.03051643192488263
State_5,0.00392156862745098,0.0,0.0,0.0,0.0,0.903921568627451,0.00392156862745098,0.0196078431372549,0.0,0.060784313725490195,0.00784313725490196
State_6,0.001451378809869376,0.0043541364296081275,0.001451378809869376,0.0,0.002902757619738752,0.0043541364296081275,0.9782293178519593,0.0,0.001451378809869376,0.005805515239477504,0.0
State_7,0.037037037037037035,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.7592592592592593,0.0,0.0,0.018518518518518517
State_8,0.0,0.00065359477124183,0.004575163398692811,0.0,0.0,0.0,0.0,0.0,0.9875816993464053,0.00718954248366013,0.0
State_9,0.0026702269692923898,0.0,0.014686248331108143,0.0,0.0,0.04005340453938585,0.006675567423230975,0.0013351134846461949,0.01602136181575434,0.9118825100133512,0.006675567423230975
State_10,0.0,0.0071174377224199285,0.005338078291814947,0.005338078291814947,0.026690391459074734,0.0071174377224199285,0.0,0.0017793594306049821,0.0017793594306049821,0.010676156583629894,0.9341637010676157
