state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.08994807121661721,16.166666666666668,47,0.3439716312056738
state_1,0.16561572700296737,29.766666666666666,69,0.4314009661835749
state_2,0.07937685459940653,14.266666666666667,148,0.0963963963963964
state_3,0.26020029673590506,46.766666666666666,21,2.226984126984127
state_4,0.18304896142433236,32.9,28,1.175
state_5,0.059903560830860535,10.766666666666667,30,0.3588888888888889
state_6,0.06342729970326409,11.4,43,0.2651162790697674
state_7,0.09847922848664688,17.7,93,0.1903225806451613
