scorer,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30
bodyparts,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,nose,nose,nose,center,center,center,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,tail_base,tail_base,tail_base,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,285.34015,348.2552,0.700958,297.07233,321.88348,0.6172561,265.6019,312.95895,0.44504324,309.01785,341.57367,0.73404527,320.71692,371.75256,0.53575975,329.08752,323.38644,0.62796885,346.23343,336.6989,1.0,430.0224,254.09653,0.911478
1,284.7142,349.31464,0.7475237,298.39194,322.4556,0.66453534,268.54794,312.78275,0.36185825,309.67343,342.621,0.7651948,321.3349,371.37094,0.5480961,328.21436,323.2171,0.578136,345.7407,337.4017,1.0,430.17114,254.16808,0.9134353
2,284.7561,349.3795,0.7442384,298.3052,322.44714,0.66415316,268.58313,312.78638,0.35893318,309.6498,342.4856,0.76212376,321.38913,371.36,0.54822975,328.10504,323.08084,0.57490826,345.77588,337.25702,1.0,430.21503,254.15308,0.91207075
3,284.75702,349.37668,0.74408287,298.30814,322.4432,0.6641019,268.58197,312.79337,0.35903564,309.6475,342.48367,0.7620908,321.3896,371.36252,0.5480793,328.10632,323.07837,0.57502276,345.77646,337.25723,1.0,430.23083,254.1243,0.9128891
4,284.7568,349.37753,0.74412125,298.30624,322.44626,0.664047,268.58176,312.7934,0.35898286,309.651,342.48904,0.7620875,321.39108,371.36108,0.5480055,328.10577,323.07642,0.57498443,345.7727,337.25983,1.0,430.2334,254.12265,0.91283137
5,284.7568,349.37753,0.74412125,298.30624,322.44626,0.664047,268.58176,312.7934,0.35898286,309.651,342.48904,0.7620875,321.39108,371.36108,0.5480055,328.10577,323.07642,0.57498443,345.7727,337.25983,1.0,430.2334,254.12265,0.91283137
6,284.7568,349.37753,0.74412125,298.30624,322.44626,0.664047,268.58176,312.7934,0.35898286,309.651,342.48904,0.7620875,321.39108,371.36108,0.5480055,328.10577,323.07642,0.57498443,345.7727,337.25983,1.0,430.2334,254.12265,0.91283137
7,284.7568,349.37753,0.74412125,298.30624,322.44626,0.664047,268.58176,312.7934,0.35898286,309.651,342.48904,0.7620875,321.39108,371.36108,0.5480055,328.10577,323.07642,0.57498443,345.7727,337.25983,1.0,430.2334,254.12265,0.91283137
8,285.95737,357.03015,0.8798034,299.4476,329.03485,0.9112931,267.68088,319.76135,0.39751104,310.27484,346.94217,0.76639515,324.12347,373.06592,0.5871188,329.27307,324.2971,0.6114499,348.08243,337.16284,1.0,430.13672,254.18018,0.9081152
9,286.44293,356.223,0.9056992,299.5262,328.43335,0.92107034,267.19363,319.499,0.44436064,310.12958,347.43332,0.80267787,324.3948,373.09286,0.56976086,329.66833,324.7399,0.63196063,348.01703,337.7849,1.0,430.383,254.0145,0.89993197
10,286.2251,353.89468,0.8821698,299.5647,326.95154,0.74012357,267.0661,316.61984,0.4271563,310.5241,344.87274,0.81002295,322.1289,372.65143,0.5514044,331.56616,324.00543,0.6506262,348.48712,338.3273,1.0,430.6585,253.47769,0.90642065
11,283.84738,350.26874,0.84567845,298.38577,320.81927,0.7516043,271.21616,317.63556,0.34797072,308.83426,341.61395,0.81063944,319.5142,371.36377,0.59456,329.84024,321.88397,0.6808573,348.4476,338.2063,1.0,430.61673,253.48329,0.904652
12,285.80118,352.17548,0.87419873,301.77335,321.33536,0.79824084,270.24826,314.47998,0.34980702,310.09607,343.5712,0.7679476,321.36133,371.2616,0.56026495,329.95993,322.5222,0.65337527,348.31857,337.5249,1.0,430.61792,253.49692,0.9037114
13,285.30505,350.83218,0.87073845,299.6738,321.86346,0.7358234,267.91974,316.6439,0.39246157,311.539,342.282,0.77808636,319.9146,371.56006,0.61659163,329.25943,321.94138,0.67340666,348.09277,337.64246,1.0,430.68588,253.43924,0.9038815
14,285.43765,349.6067,0.7821149,299.48517,321.86615,0.6631499,266.0322,314.36755,0.38631514,311.93088,341.70575,0.74479085,320.02542,371.7067,0.5666129,330.03018,321.85208,0.71420145,348.6955,337.3323,1.0,430.69736,253.42035,0.90306085
15,286.485,347.79367,0.7443144,298.97058,320.35312,0.6577686,270.05612,311.8629,0.41842404,309.86176,341.57376,0.7892604,319.1655,372.52432,0.6173298,329.44336,321.87134,0.67457396,348.9167,337.52087,1.0,430.4544,253.74065,0.9017149
16,285.61377,352.09625,0.82873565,300.7118,322.27557,0.76426107,267.7183,314.07013,0.3810459,309.73596,343.46075,0.7573514,321.86996,372.11145,0.5820979,329.1265,321.52548,0.6689622,348.2872,337.00836,1.0,430.44498,253.72191,0.9036358
17,285.95053,351.59515,0.8543721,301.39038,322.73245,0.7113518,268.28296,314.92487,0.46045798,311.21225,343.63205,0.7200538,322.5994,371.44125,0.5638053,330.37454,322.2387,0.645162,348.3731,337.04044,1.0,430.39655,254.20392,0.89634484
18,284.57352,349.0381,0.757017,298.74774,321.53174,0.68024313,266.2611,317.9319,0.475474,311.62347,341.6225,0.7307981,321.8289,371.707,0.6090272,329.1783,321.45926,0.67527676,348.68134,336.5444,1.0,430.1914,254.41977,0.9083242
19,286.62433,347.9636,0.7363938,297.05142,321.00266,0.6854102,263.3019,316.01227,0.56628364,310.4265,341.50635,0.74097985,319.83664,372.1084,0.56623805,329.00516,321.85812,0.69364834,349.0863,337.14148,1.0,430.2912,254.33109,0.90937054
