scorer,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30,DLC_Resnet50_VIEBFeb11shuffle2_snapshot_best-30
bodyparts,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,nose,nose,nose,center,center,center,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,tail_base,tail_base,tail_base,tail_tip,tail_tip,tail_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,254.27603,124.8271,0.7979691,245.10565,158.3667,0.7779733,267.91473,146.38152,0.7432456,224.14536,130.9331,0.8754467,213.85614,89.51707,0.639478,180.39279,134.68387,0.3071016,176.85272,140.42981,0.43037573,442.39188,179.94392,0.3482444
1,254.01295,121.071754,0.8469224,247.26913,155.54507,0.803427,271.53134,141.31714,0.8236036,226.47217,130.51257,0.87067866,211.16754,87.891975,0.6800352,182.26433,136.84155,0.31657702,177.12257,140.26892,0.47799382,442.45306,179.93167,0.35580167
2,254.05089,121.03605,0.850074,247.27289,155.50089,0.80694896,271.54852,141.14731,0.82741416,226.49126,130.53444,0.86950874,211.20375,87.80178,0.6808001,182.2472,136.81633,0.31786394,177.11606,140.28685,0.47788215,442.45633,179.97652,0.35507306
3,254.05006,121.03636,0.8498498,247.27473,155.50276,0.8068746,271.54755,141.14943,0.8278067,226.4892,130.53247,0.86926806,211.20232,87.79869,0.6803873,182.24416,136.81583,0.31787953,177.11679,140.28685,0.4777759,442.46014,179.97154,0.35541996
4,254.04718,121.03714,0.85022944,247.27489,155.50122,0.80678004,271.54822,141.14725,0.8277737,226.48894,130.5343,0.86925304,211.20197,87.799835,0.6804044,182.24837,136.8144,0.3179233,177.10948,140.29108,0.47816136,442.4603,179.97353,0.3552726
5,254.05032,121.03785,0.8499147,247.27365,155.50052,0.8067418,271.54706,141.14664,0.8274863,226.48936,130.53716,0.8689528,211.20328,87.80157,0.6807865,182.2476,136.81674,0.31776726,177.11368,140.28796,0.47783506,442.46118,179.97588,0.35552263
6,254.04938,121.03601,0.8499052,247.27344,155.50333,0.80693203,271.5506,141.15175,0.82777625,226.48944,130.53487,0.86922115,211.2056,87.79973,0.68076944,182.24686,136.8168,0.3178589,177.11024,140.2891,0.47816172,442.4611,179.97249,0.3557782
7,254.0487,121.0376,0.84985894,247.27528,155.50072,0.8067525,271.54776,141.14725,0.827703,226.48799,130.53224,0.8692342,211.20544,87.80087,0.68065906,182.24774,136.81563,0.31787905,177.11617,140.28757,0.4776944,442.4582,179.96796,0.35537624
8,254.66122,104.21379,0.7896031,260.7148,138.85706,0.8340728,275.03375,120.29285,0.89130515,234.57137,119.687614,0.78899676,196.89545,83.11451,0.7115123,194.05107,140.50813,0.20578352,178.79826,133.22473,0.39629552,191.51306,213.74954,0.38653046
9,254.68063,96.631905,0.6721644,265.0986,132.12277,0.78950673,276.8935,83.01157,0.5886287,236.4535,113.698875,0.7324579,197.419,81.2374,0.8384786,231.53372,150.70648,0.27542326,228.39563,154.70401,0.3896812,442.5138,180.23753,0.32597122
10,260.35782,90.70523,0.7891032,269.07742,128.25034,0.82692885,285.54,75.64554,0.7674659,239.5494,109.76473,0.7488149,197.53894,80.88323,0.78213114,231.68866,149.57027,0.31523547,191.67052,147.33646,0.46043125,442.54294,180.29265,0.31039962
11,261.66653,90.61458,0.8275159,271.69623,126.7089,0.767643,289.05295,72.457794,0.7354145,243.32402,109.34559,0.73079264,197.60648,80.50783,0.7637176,217.80347,142.79424,0.38034487,191.40771,146.03241,0.61467445,191.23381,212.92043,0.33715254
12,264.1154,91.524765,0.8090014,272.86514,126.12177,0.756803,290.25723,74.24215,0.6788517,244.53261,108.74383,0.7612343,200.37776,80.53172,0.8427544,219.87338,143.2767,0.45591354,191.85501,145.24481,0.65528196,191.51714,212.87137,0.33552346
13,266.1612,92.29882,0.80569637,274.8478,123.240685,0.7743174,296.49783,81.5332,0.69341457,246.57942,107.225136,0.70944935,203.60599,81.3659,0.86858886,222.17978,143.27528,0.52702844,192.4258,144.75131,0.5376533,192.05376,214.6867,0.3550879
14,266.56885,91.209656,0.78337276,278.17502,123.65979,0.7938743,303.2479,73.71121,0.8650854,247.12953,107.69437,0.66403776,207.04172,76.787315,0.46695438,227.95425,146.51149,0.5535476,221.89793,149.88747,0.1915083,191.402,213.3487,0.367696
15,269.2982,85.93935,0.79159737,283.15424,123.44309,0.79444647,305.1432,71.7449,0.8832845,250.677,108.412186,0.77437013,211.30565,77.123405,0.557371,231.30792,145.86339,0.41210598,182.86528,114.51387,0.2969143,192.255,214.30322,0.3406089
16,272.02585,85.9027,0.8844214,285.47452,120.773575,0.7475121,308.69617,68.231415,0.89196616,255.70795,105.844315,0.69920695,211.73778,80.593,0.61220926,226.10591,147.64227,0.5507859,207.78941,149.16603,0.32100025,192.02773,214.43631,0.37619287
17,273.7254,85.3507,0.8112627,290.2758,121.06793,0.7356383,315.02905,72.47618,0.76443875,255.65979,105.63245,0.77869684,213.67683,83.41927,0.6767832,225.61555,148.19565,0.6196308,188.10109,122.33459,0.33028528,191.7137,213.53401,0.41140333
18,278.5779,83.64663,0.7827493,295.9061,116.672554,0.7570524,315.7925,69.53359,0.8267314,259.4922,106.526535,0.77126324,217.15651,84.23508,0.53931403,227.89594,148.02711,0.5521495,187.3373,117.9824,0.2745632,443.29514,181.05878,0.40466222
