stem,state_0_frac,state_1_frac,state_2_frac,state_3_frac,state_4_frac,state_5_frac,state_6_frac,state_7_frac,state_8_frac,state_9_frac,state_10_frac,state_11_frac,state_12_frac,state_13_frac,state_14_frac,state_15_frac,state_16_frac,state_17_frac,state_18_frac,state_19_frac,state_20_frac,state_21_frac,state_22_frac,state_23_frac,state_24_frac,state_25_frac,state_26_frac,state_27_frac,state_28_frac,state_29_frac,state_30_frac,state_31_frac,state_32_frac,state_33_frac,state_34_frac,state_35_frac,state_36_frac,state_37_frac,state_38_frac,state_39_frac,state_40_frac,state_41_frac,state_42_frac,state_43_frac,state_44_frac,state_45_frac,state_46_frac,state_47_frac,state_48_frac,state_49_frac,state_50_frac,state_51_frac,state_52_frac,state_53_frac,state_54_frac,state_55_frac,state_56_frac,state_57_frac,state_58_frac,state_59_frac,state_60_frac,state_61_frac,state_62_frac,state_63_frac,state_64_frac,state_65_frac,state_66_frac,state_67_frac,filename,date,box,experiment,day,context,no_shock,animal_id,fear
20241113_Box_2_CFC_Day_0_(Context_A)_9006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026046511627906978,0.0,0.0,0.0,0.0,0.0,0.005581395348837209,0.3097674418604651,0.022325581395348838,0.0,0.0018604651162790699,0.026976744186046512,0.0,0.0,0.037209302325581395,0.0,0.0009302325581395349,0.0009302325581395349,0.0065116279069767444,0.0,0.0,0.01581395348837209,0.0,0.04,0.03627906976744186,0.0037209302325581397,0.0,0.0,0.14511627906976743,0.011162790697674419,0.011162790697674419,0.0,0.10418604651162791,0.061395348837209304,0.0,0.0,0.022325581395348838,0.005581395348837209,0.04930232558139535,0.04093023255813953,0.014883720930232559,20241113_Box_2_CFC_Day_0_(Context_A)_9006.mp4,20241113,2,CFC,0,A,no,9006,
20241113_Box_2_CFC_Day_0_(Context_A)_9008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004992867332382311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019971469329529243,0.0,0.0028530670470756064,0.004992867332382311,0.0,0.014978601997146932,0.0,0.0,0.02710413694721826,0.0,0.0,0.07061340941512126,0.0,0.0,0.020684736091298145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028530670470756064,0.09771754636233952,0.0007132667617689016,0.0,0.1383737517831669,0.0,0.25178316690442226,0.046362339514978604,0.0021398002853067048,0.0,0.0,0.14978601997146934,0.023537803138373753,0.003566333808844508,0.0021398002853067048,0.021398002853067047,0.07489300998573467,0.012125534950071327,0.006419400855920114,20241113_Box_2_CFC_Day_0_(Context_A)_9008.mp4,20241113,2,CFC,0,A,no,9008,
20241113_Box_2_CFC_Day_0_(Context_A)_9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018281535648994515,0.0,0.0,0.0,0.0,0.0,0.015539305301645339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018281535648994515,0.0,0.003656307129798903,0.553016453382084,0.006398537477148081,0.0,0.0,0.04021937842778794,0.0,0.0,0.031078610603290677,0.0,0.010054844606946984,0.0,0.005484460694698354,0.0,0.0,0.0,0.004570383912248629,0.0,0.010968921389396709,0.012797074954296161,0.0009140767824497258,0.0,0.0740402193784278,0.007312614259597806,0.016453382084095063,0.0,0.0018281535648994515,0.12431444241316271,0.0,0.0,0.014625228519195612,0.0,0.024680073126142597,0.026508226691042046,0.011882998171846435,20241113_Box_2_CFC_Day_0_(Context_A)_9010.mp4,20241113,2,CFC,0,A,no,9010,
20241113_Box_2_CFC_Day_0_(Context_A)_9012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004710315591144607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004710315591144607,0.0,0.0037682524729156855,0.7475270843146491,0.001413094677343382,0.0,0.0,0.003297220913801225,0.0,0.0,0.004710315591144607,0.0,0.00706547338671691,0.0,0.1290626471973622,0.0,0.0,0.0,0.0,0.0009420631182289214,0.0,0.0,0.0,0.009420631182289214,0.0,0.0009420631182289214,0.03344324069712671,0.0004710315591144607,0.0,0.011304757418747056,0.0,0.0009420631182289214,0.01460197833254828,0.0004710315591144607,0.0,0.02119642016015073,0.008478568064060292,20241113_Box_2_CFC_Day_0_(Context_A)_9012.mp4,20241113,2,CFC,0,A,no,9012,
20241113_Box_2_CFC_Day_0_(Context_A)_9014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241113_Box_2_CFC_Day_0_(Context_A)_9014.mp4,20241113,2,CFC,0,A,no,9014,
20241113_Box_2_CFC_Day_0_(Context_A)_9016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241113_Box_2_CFC_Day_0_(Context_A)_9016.mp4,20241113,2,CFC,0,A,no,9016,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9001",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9001.mp4",20241114,1,CFC,1,A,yes,9001,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9003",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036560247167868175,0.15396498455200824,0.004119464469618949,0.0,0.0,0.0,0.0,0.0,0.0,0.47940267765190525,0.0,0.0,0.0020597322348094747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004119464469618949,0.0,0.0,0.0,0.0,0.0020597322348094747,0.0,0.0005149330587023687,0.0,0.0,0.0,0.0,0.0,0.0,0.10453141091658084,0.0,0.001544799176107106,0.02059732234809475,0.01132852729145211,0.001544799176107106,0.0,0.0005149330587023687,0.007723995880535531,0.04685890834191555,0.0005149330587023687,0.03038105046343975,0.014933058702368692,0.01132852729145211,0.035015447991761074,0.03038105046343975,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9003.mp4",20241114,1,CFC,1,A,yes,9003,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9005",0.0,0.004550625711035267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019340159271899887,0.0,0.0,0.0,0.0,0.005688282138794084,0.0,0.0,0.0,0.0011376564277588168,0.01478953356086462,0.0,0.0,0.0,0.0,0.10352673492605233,0.0,0.12286689419795221,0.14789533560864618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022753128555176336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015927189988623434,0.0,0.005688282138794084,0.0011376564277588168,0.0,0.0022753128555176336,0.013651877133105802,0.35494880546075086,0.0,0.06825938566552901,0.0011376564277588168,0.017064846416382253,0.013651877133105802,0.0,0.020477815699658702,0.06370875995449374,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9005.mp4",20241114,1,CFC,1,A,yes,9005,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9007",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9007.mp4",20241114,1,CFC,1,A,yes,9007,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9009",0.0,0.0,0.0,0.0,0.0,0.4877016662258662,0.0,0.0,0.0,0.0,0.39777836551176937,0.08860089923300714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01190161332980693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011372652737371066,0.0,0.0,0.0,0.0,0.0018513620735255223,0.0007934408886537953,0.0,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9009.mp4",20241114,1,CFC,1,A,yes,9009,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9011",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.13392857142857142,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.19791666666666666,0.008928571428571428,0.001488095238095238,0.13392857142857142,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0625,0.0,0.0,0.0,0.0,0.04017857142857143,0.0,0.0,0.0,0.03869047619047619,0.13839285714285715,0.0,0.019345238095238096,0.002976190476190476,0.0,0.03125,0.13392857142857142,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9011.mp4",20241114,1,CFC,1,A,yes,9011,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9013",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9013.mp4",20241114,1,CFC,1,A,yes,9013,
"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9015",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20241114_Box_1_CFC_Day_1_(Context_A,_No_Shock)_9015.mp4",20241114,1,CFC,1,A,yes,9015,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9002",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.3953488372093023,0.0,0.0,0.0,0.0,0.23255813953488372,0.13953488372093023,0.0,"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9002.mp4",20241114,2,CFC,1,A,yes,9002,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9004",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31951129211403184,0.004072565716401333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029248426508700482,0.0,0.0,0.001480932987782303,0.0,0.0,0.0,0.0,0.0,0.00037023324694557573,0.0,0.0,0.0,0.6371714179933358,0.002961865975564606,0.0,0.0,0.0,0.001480932987782303,0.0,0.0,0.0033320992225101815,0.00037023324694557573,"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9004.mp4",20241114,2,CFC,1,A,yes,9004,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9006",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030427150380339378,0.0,0.0,0.0,0.0,0.0,0.0,0.0023405500292568754,0.0,0.0,0.004095962551199532,0.08894090111176127,0.35283791691047395,0.0,0.0,0.004681100058513751,0.0,0.0,0.0,0.0,0.0011702750146284377,0.0005851375073142189,0.004681100058513751,0.0,0.0,0.0,0.0,0.024575775307197192,0.0,0.4218841427735518,0.0,0.0,0.0,0.0011702750146284377,0.0017554125219426564,0.0,0.0,0.009362200117027502,0.0005851375073142189,0.0,0.018139262726740785,0.0005851375073142189,0.0,0.016383850204798128,0.01579871269748391,"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9006.mp4",20241114,2,CFC,1,A,yes,9006,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9008",0.0,0.6377388535031847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014331210191082803,0.0015923566878980893,0.1962579617834395,0.026671974522292995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013535031847133758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.007165605095541401,0.0,0.005971337579617835,0.0,0.007165605095541401,0.0035828025477707007,0.0003980891719745223,0.0,0.0003980891719745223,0.037818471337579616,0.0015923566878980893,0.0003980891719745223,0.004378980891719745,0.0023885350318471337,0.010748407643312101,0.006767515923566879,0.0019904458598726115,"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9008.mp4",20241114,2,CFC,1,A,yes,9008,
"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013819789939192924,0.0013819789939192924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763957987838585,0.0,0.0,0.0,0.0,0.003316749585406302,0.0,0.0,0.0,0.0,0.0019347705914870095,0.0019347705914870095,0.0002763957987838585,0.0,0.0024875621890547263,0.0019347705914870095,"20241114_Box_2_CFC_Day_1_(Context_A,_No_Shock)_9010.mp4",20241114,2,CFC,1,A,yes,9010,
