state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.18914630276102826,39.733333333333334,218,0.18226299694189602
state_1,0.20691843859092351,43.46666666666667,316,0.13755274261603376
state_2,0.08140272929228816,17.1,113,0.1513274336283186
state_3,0.03189463662329419,6.7,59,0.1135593220338983
state_4,0.06236115518882894,13.1,68,0.19264705882352942
state_5,0.024595366550301492,5.166666666666667,47,0.1099290780141844
state_6,0.1485242780069819,31.2,43,0.7255813953488371
state_7,0.18962234211361473,39.833333333333336,92,0.43297101449275366
state_8,0.04792129482703904,10.066666666666666,146,0.06894977168949772
state_9,0.017613456045699777,3.7,26,0.1423076923076923
