,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8
State_0,0.9787066246056783,0.00473186119873817,0.0,0.003943217665615142,0.0007886435331230284,0.0,0.0,0.0031545741324921135,0.008675078864353312
State_1,0.012048192771084338,0.9718875502008032,0.0,0.010040160642570281,0.0,0.0,0.006024096385542169,0.0,0.0
State_2,0.0,0.0,0.9878345498783455,0.0,0.0,0.0,0.0,0.0024330900243309003,0.009732360097323601
State_3,0.012285012285012284,0.014742014742014743,0.0,0.9705159705159705,0.0,0.0,0.002457002457002457,0.0,0.0
State_4,0.0,0.0,0.0,0.0,0.9985315712187959,0.0,0.0,0.0014684287812041115,0.0
State_5,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.014925373134328358
State_6,0.0,0.009584664536741214,0.0,0.006389776357827476,0.0,0.0,0.9840255591054313,0.0,0.0
State_7,0.0014018691588785046,0.0,0.0009345794392523365,0.0,0.0,0.00046728971962616824,0.0,0.9855140186915888,0.011682242990654205
State_8,0.02524271844660194,0.0,0.005825242718446602,0.0,0.0,0.0,0.001941747572815534,0.04854368932038835,0.9184466019417475
