,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9
State_0,0.9090909090909091,0.0015408320493066256,0.03543913713405239,0.0030816640986132513,0.0,0.004622496147919877,0.0,0.0061633281972265025,0.0,0.040061633281972264
State_1,0.0,0.9233009708737864,0.0,0.05436893203883495,0.000970873786407767,0.0,0.0,0.017475728155339806,0.0,0.003883495145631068
State_2,0.019553072625698324,0.0,0.9581005586592178,0.012104283054003724,0.0,0.0,0.002793296089385475,0.004655493482309125,0.0,0.002793296089385475
State_3,0.006031363088057901,0.06875753920386007,0.013268998793727383,0.8829915560916767,0.0,0.0,0.007237635705669481,0.008443908323281062,0.0024125452352231603,0.010856453558504222
State_4,0.000946073793755913,0.000946073793755913,0.000946073793755913,0.000946073793755913,0.9649952696310312,0.0,0.03122043519394513,0.0,0.0,0.0
State_5,0.024793388429752067,0.0,0.0,0.008264462809917356,0.0,0.9338842975206612,0.008264462809917356,0.0,0.0,0.024793388429752067
State_6,0.002894356005788712,0.0,0.001447178002894356,0.00723589001447178,0.05209840810419682,0.002894356005788712,0.8929088277858177,0.0,0.02894356005788712,0.011577424023154847
State_7,0.003816793893129771,0.07251908396946564,0.007633587786259542,0.03435114503816794,0.0,0.0,0.0,0.851145038167939,0.0,0.030534351145038167
State_8,0.0,0.0,0.0,0.01875,0.0,0.0,0.11875,0.0,0.85,0.0125
State_9,0.06088992974238876,0.00234192037470726,0.01405152224824356,0.01873536299765808,0.0,0.00702576112412178,0.02810304449648712,0.0117096018735363,0.00468384074941452,0.8524590163934426
