state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.06305637982195846,11.333333333333334,12,0.9444444444444444
state_1,0.08030415430267063,14.433333333333334,32,0.4510416666666667
state_2,0.0673219584569733,12.1,14,0.8642857142857142
state_3,0.09106083086053413,16.366666666666667,65,0.2517948717948718
state_4,0.08141691394658754,14.633333333333333,11,1.3303030303030303
state_5,0.2522255192878338,45.333333333333336,27,1.6790123456790125
state_6,0.07214391691394659,12.966666666666667,49,0.264625850340136
state_7,0.08864985163204747,15.933333333333334,43,0.3705426356589147
state_8,0.023553412462908013,4.233333333333333,5,0.8466666666666666
state_9,0.07956231454005935,14.3,57,0.25087719298245614
state_10,0.028560830860534125,5.133333333333334,38,0.13508771929824562
state_11,0.07214391691394659,12.966666666666667,33,0.3929292929292929
