state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.03054989816700611,5.5,42,0.13095238095238096
state_1,0.1260877615256434,22.7,173,0.13121387283236993
state_2,0.07424551009072394,13.366666666666667,60,0.2227777777777778
state_3,0.08831697833734493,15.9,148,0.10743243243243243
state_4,0.027402332901314573,4.933333333333334,15,0.3288888888888889
state_5,0.1897796704314016,34.166666666666664,64,0.5338541666666666
state_6,0.09516756156267357,17.133333333333333,244,0.07021857923497268
state_7,0.21736715423069802,39.13333333333333,34,1.1509803921568629
state_8,0.03536382151453434,6.366666666666666,104,0.061217948717948716
state_9,0.11571931123865951,20.833333333333332,88,0.23674242424242425
