state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.18753478018920422,33.7,180,0.1872222222222222
state_1,0.08273047672046002,14.866666666666667,179,0.08305400372439478
state_2,0.14876646262289,26.733333333333334,115,0.23246376811594202
state_3,0.10461880912632164,18.8,102,0.18431372549019606
state_4,0.09794101279910963,17.6,105,0.1676190476190476
state_5,0.05082544982378037,9.133333333333333,59,0.15480225988700566
state_6,0.0895937673900946,16.1,125,0.1288
state_7,0.05082544982378037,9.133333333333333,26,0.35128205128205126
state_8,0.026340196624002967,4.733333333333333,18,0.26296296296296295
state_9,0.11129660545353366,20.0,157,0.12738853503184713
state_10,0.04952698942682248,8.9,66,0.13484848484848486
