state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.24040066777963273,43.2,18,2.4
state_1,0.03394546466332777,6.1,17,0.3588235294117647
state_2,0.05138193285104804,9.233333333333333,46,0.20072463768115942
state_3,0.19217213874976813,34.53333333333333,54,0.6395061728395063
state_4,0.04433314783899091,7.966666666666667,8,0.9958333333333333
state_5,0.06603598590242997,11.866666666666667,84,0.14126984126984127
state_6,0.013912075681691708,2.5,8,0.3125
state_7,0.06288258208124652,11.3,70,0.16142857142857142
state_8,0.03858282322389167,6.933333333333334,17,0.40784313725490196
state_9,0.05342237061769616,9.6,38,0.25263157894736843
state_10,0.19087367835281024,34.3,26,1.3192307692307694
state_11,0.012057132257466147,2.1666666666666665,4,0.5416666666666666
