filename,date,box,experiment,day,context,no_shock,animal_id,fear
20260521_Box_3_CFD_Day_6_(Context_A)_716.mp4,20260521,3,CFD,6,A,,716,
20260521_Box_3_CFD_Day_6_(Context_A)_719.mp4,20260521,3,CFD,6,A,,719,
20260521_Box_3_CFD_Day_6_(Context_A)_722.mp4,20260521,3,CFD,6,A,,722,
20260522_Box_3_CFD_Day_7_(Context_B)_705.mp4,20260522,3,CFD,7,B,,705,
20260522_Box_3_CFD_Day_7_(Context_B)_712.mp4,20260522,3,CFD,7,B,,712,
