,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
State_0,0.8978723404255319,0.0,0.00425531914893617,0.01276595744680851,0.02127659574468085,0.00425531914893617,0.02553191489361702,0.02127659574468085,0.0,0.00425531914893617,0.00851063829787234
State_1,0.0,0.9896907216494846,0.0,0.004123711340206186,0.002061855670103093,0.0,0.0,0.002061855670103093,0.0,0.002061855670103093,0.0
State_2,0.0,0.0,0.8532818532818532,0.011583011583011582,0.009009009009009009,0.03861003861003861,0.0,0.06692406692406692,0.0,0.001287001287001287,0.019305019305019305
State_3,0.0048543689320388345,0.009708737864077669,0.012135922330097087,0.8956310679611651,0.01699029126213592,0.0048543689320388345,0.0,0.0048543689320388345,0.0,0.021844660194174758,0.02912621359223301
State_4,0.006172839506172839,0.0008818342151675485,0.005291005291005291,0.008818342151675485,0.8977072310405644,0.007054673721340388,0.0,0.006172839506172839,0.0,0.012345679012345678,0.05555555555555555
State_5,0.0,0.0,0.053691275167785234,0.003355704697986577,0.020134228187919462,0.5318791946308725,0.0,0.0587248322147651,0.02181208053691275,0.0050335570469798654,0.3053691275167785
State_6,0.017482517482517484,0.0,0.0,0.0034965034965034965,0.0,0.0,0.9790209790209791,0.0,0.0,0.0,0.0
State_7,0.010687022900763359,0.0,0.0732824427480916,0.0015267175572519084,0.00916030534351145,0.05343511450381679,0.0,0.8412213740458016,0.0015267175572519084,0.0015267175572519084,0.007633587786259542
State_8,0.0,0.0,0.0,0.0,0.007518796992481203,0.09774436090225563,0.0,0.0,0.8872180451127819,0.007518796992481203,0.0
State_9,0.0,0.0,0.0016313213703099511,0.013050570962479609,0.022838499184339316,0.0065252854812398045,0.0,0.0,0.0016313213703099511,0.9070146818923328,0.04730831973898858
State_10,0.003076923076923077,0.0,0.021538461538461538,0.0071794871794871795,0.06358974358974359,0.19076923076923077,0.0,0.0020512820512820513,0.0,0.027692307692307693,0.6841025641025641
