start_frame,end_frame,duration_sec,mean_score
556,557,0.03333333333333333,0.805338978767395
687,688,0.03333333333333333,0.8408277034759521
694,698,0.13333333333333333,0.9130868911743164
706,707,0.03333333333333333,0.8942901492118835
778,795,0.5666666666666667,1.566193699836731
872,873,0.03333333333333333,0.8892548680305481
874,877,0.1,1.0562353134155273
885,886,0.03333333333333333,0.9673065543174744
889,890,0.03333333333333333,1.0822347402572632
899,900,0.03333333333333333,0.8745246529579163
914,917,0.1,1.18661630153656
933,934,0.03333333333333333,1.0863163471221924
935,936,0.03333333333333333,1.1703088283538818
981,982,0.03333333333333333,0.9749277830123901
994,997,0.1,1.0037263631820679
1033,1034,0.03333333333333333,0.8526694774627686
1036,1039,0.1,0.9099395871162415
1071,1072,0.03333333333333333,0.9588145017623901
1138,1139,0.03333333333333333,1.107135534286499
1165,1166,0.03333333333333333,1.5169637203216553
1170,1174,0.13333333333333333,0.8958373069763184
1180,1182,0.06666666666666667,0.8321487307548523
1183,1184,0.03333333333333333,1.0522379875183105
1185,1188,0.1,1.167458176612854
1193,1197,0.13333333333333333,1.1333560943603516
1199,1202,0.1,2.1043078899383545
1203,1204,0.03333333333333333,0.84858638048172
1206,1207,0.03333333333333333,0.8183798789978027
1218,1222,0.13333333333333333,2.0345702171325684
1243,1253,0.3333333333333333,1.4809916019439697
1256,1258,0.06666666666666667,1.016055941581726
1262,1269,0.23333333333333334,1.1546021699905396
1275,1277,0.06666666666666667,0.9141908884048462
1278,1281,0.1,1.2079459428787231
1289,1290,0.03333333333333333,0.9817407131195068
1315,1318,0.1,1.297404408454895
1546,1547,0.03333333333333333,0.9801133275032043
1717,1718,0.03333333333333333,0.9162363409996033
1719,1720,0.03333333333333333,0.8573890328407288
1736,1737,0.03333333333333333,0.8323746919631958
1739,1740,0.03333333333333333,0.8044196367263794
1996,1997,0.03333333333333333,1.0221805572509766
1999,2000,0.03333333333333333,0.9269301891326904
2002,2003,0.03333333333333333,0.8977065682411194
2052,2053,0.03333333333333333,0.9760765433311462
2137,2138,0.03333333333333333,0.7848913669586182
2177,2179,0.06666666666666667,0.8804233074188232
2180,2182,0.06666666666666667,0.9252066612243652
2188,2189,0.03333333333333333,0.910767138004303
2195,2197,0.06666666666666667,0.8938272595405579
2198,2199,0.03333333333333333,1.088295817375183
2214,2215,0.03333333333333333,1.307275652885437
2223,2224,0.03333333333333333,1.4320722818374634
2229,2230,0.03333333333333333,1.1534935235977173
2236,2237,0.03333333333333333,0.800201416015625
2292,2293,0.03333333333333333,1.173970341682434
2294,2296,0.06666666666666667,0.855535626411438
2325,2330,0.16666666666666666,1.0641090869903564
2344,2345,0.03333333333333333,0.9653207063674927
2346,2349,0.1,1.85893714427948
2498,2500,0.06666666666666667,1.010555624961853
3322,3323,0.03333333333333333,1.3458433151245117
3325,3326,0.03333333333333333,1.2115720510482788
3332,3333,0.03333333333333333,0.8466557860374451
3335,3336,0.03333333333333333,0.8151607513427734
3347,3355,0.26666666666666666,0.9375308752059937
3362,3368,0.2,1.066132664680481
3432,3433,0.03333333333333333,0.826569676399231
3449,3450,0.03333333333333333,0.9888299107551575
5038,5040,0.06666666666666667,1.0905038118362427
5047,5048,0.03333333333333333,0.9283978343009949
5049,5051,0.06666666666666667,1.0649958848953247
5147,5152,0.16666666666666666,1.2942453622817993
5203,5204,0.03333333333333333,0.9997433423995972
5212,5218,0.2,1.4762011766433716
5373,5375,0.06666666666666667,0.8673676252365112
