,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9
State_0,0.9117647058823529,0.0029411764705882353,0.0029411764705882353,0.0,0.05,0.0029411764705882353,0.011764705882352941,0.0029411764705882353,0.0,0.014705882352941176
State_1,0.0,0.8973941368078175,0.0,0.0,0.0016286644951140066,0.0,0.0016286644951140066,0.09609120521172639,0.003257328990228013,0.0
State_2,0.0,0.0,0.996900826446281,0.0,0.0,0.0,0.0,0.0,0.0,0.0030991735537190084
State_3,0.0029239766081871343,0.0,0.0,0.9093567251461988,0.01023391812865497,0.03654970760233918,0.038011695906432746,0.0,0.0029239766081871343,0.0
State_4,0.03125,0.0,0.0,0.016544117647058824,0.8841911764705882,0.009191176470588236,0.007352941176470588,0.011029411764705883,0.025735294117647058,0.014705882352941176
State_5,0.005681818181818182,0.0,0.0,0.14204545454545456,0.03409090909090909,0.8181818181818182,0.0,0.0,0.0,0.0
State_6,0.0053475935828877,0.00267379679144385,0.0,0.06417112299465241,0.016042780748663103,0.0,0.8903743315508021,0.0,0.016042780748663103,0.0053475935828877
State_7,0.0014204545454545455,0.08238636363636363,0.0,0.0,0.009943181818181818,0.0,0.0,0.8991477272727273,0.005681818181818182,0.0014204545454545455
State_8,0.003215434083601286,0.00964630225080386,0.0,0.012861736334405145,0.03536977491961415,0.0,0.012861736334405145,0.01607717041800643,0.909967845659164,0.0
State_9,0.008888888888888889,0.0,0.002962962962962963,0.0,0.013333333333333334,0.0,0.002962962962962963,0.0,0.0,0.9718518518518519
