state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.1345604569977785,28.266666666666666,6,4.711111111111111
state_1,0.13360837829260552,28.066666666666666,106,0.2647798742138365
state_2,0.10377657886385275,21.8,20,1.09
state_3,0.06363059346239289,13.366666666666667,12,1.1138888888888887
state_4,0.10948905109489052,23.0,15,1.5333333333333334
state_5,0.029197080291970802,6.133333333333334,18,0.34074074074074073
state_6,0.1370993335449064,28.8,123,0.23414634146341465
state_7,0.07616629641383688,16.0,14,1.1428571428571428
state_8,0.07442081878768644,15.633333333333333,24,0.6513888888888889
state_9,0.08076801015550619,16.966666666666665,10,1.6966666666666665
state_10,0.010948905109489052,2.3,4,0.575
state_11,0.0463344969850841,9.733333333333333,6,1.6222222222222222
