,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11
State_0,0.9932885906040269,0.0,0.0,0.0044742729306487695,0.0,0.0,0.0022371364653243847,0.0,0.0,0.0,0.0,0.0
State_1,0.0007272727272727272,0.9709090909090909,0.0,0.0,0.0,0.0,0.0007272727272727272,0.0,0.0,0.0007272727272727272,0.0,0.02690909090909091
State_2,0.0,0.0,0.8767123287671232,0.023972602739726026,0.003424657534246575,0.0,0.030821917808219176,0.0410958904109589,0.003424657534246575,0.02054794520547945,0.0,0.0
State_3,0.0009560229445506692,0.0,0.0076481835564053535,0.9808795411089866,0.0,0.0,0.008604206500956023,0.0009560229445506692,0.0,0.0009560229445506692,0.0,0.0
State_4,0.0,0.0,0.013100436681222707,0.0,0.8908296943231441,0.06550218340611354,0.013100436681222707,0.008733624454148471,0.004366812227074236,0.004366812227074236,0.0,0.0
State_5,0.0,0.0,0.0,0.0,0.08205128205128205,0.8923076923076924,0.0,0.0,0.0,0.02564102564102564,0.0,0.0
State_6,0.002717391304347826,0.008152173913043478,0.010869565217391304,0.02717391304347826,0.016304347826086956,0.0,0.8967391304347826,0.005434782608695652,0.0,0.029891304347826088,0.0,0.002717391304347826
State_7,0.0,0.0,0.031791907514450865,0.0,0.005780346820809248,0.0,0.008670520231213872,0.9450867052023122,0.008670520231213872,0.0,0.0,0.0
State_8,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.005988023952095809,0.011976047904191617,0.9640718562874252,0.0,0.011976047904191617,0.0
State_9,0.0,0.0015408320493066256,0.012326656394453005,0.0015408320493066256,0.0,0.009244992295839754,0.012326656394453005,0.0,0.0,0.963020030816641,0.0,0.0
State_10,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.007936507936507936,0.0,0.9841269841269841,0.0
State_11,0.0,0.24,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.7466666666666667
