,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9
State_0,0.9207606973058637,0.0,0.03803486529318542,0.004754358161648178,0.002377179080824089,0.002377179080824089,0.011885895404120444,0.0,0.019809825673534072,0.0
State_1,0.0,0.9543973941368078,0.003257328990228013,0.003257328990228013,0.0,0.0,0.029315960912052116,0.0,0.0,0.009771986970684038
State_2,0.04869762174405436,0.0,0.8437146092865232,0.03850509626274066,0.010192525481313703,0.006795016987542469,0.03850509626274066,0.0011325028312570782,0.006795016987542469,0.0056625141562853904
State_3,0.004656577415599534,0.0,0.04190919674039581,0.9324796274738067,0.0,0.0,0.008149010477299184,0.0,0.012805587892898719,0.0
State_4,0.002785515320334262,0.0,0.019498607242339833,0.0,0.8579387186629527,0.0,0.0947075208913649,0.008356545961002786,0.008356545961002786,0.008356545961002786
State_5,0.0,0.0,0.019390581717451522,0.0,0.002770083102493075,0.9722991689750693,0.002770083102493075,0.0,0.0,0.002770083102493075
State_6,0.016968325791855202,0.012443438914027148,0.027149321266968326,0.003393665158371041,0.03506787330316742,0.0011312217194570137,0.8416289592760181,0.0,0.05429864253393665,0.007918552036199095
State_7,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.9358974358974359,0.01282051282051282,0.0
State_8,0.04495747266099635,0.0,0.013365735115431349,0.015795868772782502,0.002430133657351154,0.0,0.03645200486026731,0.001215066828675577,0.8857837181044957,0.0
State_9,0.0,0.006198347107438017,0.008264462809917356,0.0,0.002066115702479339,0.0,0.02066115702479339,0.0,0.0,0.9628099173553719
