state,occurrence_rate,total_duration_sec,n_bouts,mean_bout_duration_sec
state_0,0.20028566894143787,42.06666666666667,100,0.42066666666666663
state_1,0.048722425011902874,10.233333333333333,14,0.7309523809523809
state_2,0.14013648627202033,29.433333333333334,138,0.2132850241545894
state_3,0.13632756705284876,28.633333333333333,58,0.4936781609195402
state_4,0.05697508332010792,11.966666666666667,51,0.234640522875817
state_5,0.057292493255038886,12.033333333333333,10,1.2033333333333334
state_6,0.1402951912394858,29.466666666666665,140,0.21047619047619046
state_7,0.01237898746230757,2.6,5,0.52
state_8,0.1306141882240914,27.433333333333334,94,0.2918439716312057
state_9,0.07697190922075861,16.166666666666668,19,0.8508771929824561
