start_frame,end_frame,duration_sec,mean_score
7,9,0.06666666666666667,0.6581172943115234
11,17,0.2,0.825416624546051
68,69,0.03333333333333333,0.671674907207489
73,74,0.03333333333333333,0.7163844108581543
75,78,0.1,0.7788362503051758
87,89,0.06666666666666667,0.7325918674468994
125,126,0.03333333333333333,0.7226465344429016
127,128,0.03333333333333333,0.7539817094802856
133,134,0.03333333333333333,0.7707481384277344
169,170,0.03333333333333333,0.6711714863777161
174,181,0.23333333333333334,1.100775957107544
249,250,0.03333333333333333,0.7343263030052185
257,259,0.06666666666666667,0.725853681564331
290,291,0.03333333333333333,0.7158358693122864
310,313,0.1,0.906025230884552
341,342,0.03333333333333333,0.9649409055709839
344,346,0.06666666666666667,0.8546819686889648
367,369,0.06666666666666667,0.7213382720947266
374,376,0.06666666666666667,0.7229107618331909
379,380,0.03333333333333333,0.6677865982055664
448,449,0.03333333333333333,0.7037732005119324
607,608,0.03333333333333333,0.6276397109031677
628,629,0.03333333333333333,0.8970146179199219
634,635,0.03333333333333333,1.0480327606201172
642,643,0.03333333333333333,0.8558961153030396
779,781,0.06666666666666667,0.9736205339431763
782,783,0.03333333333333333,0.6663460731506348
784,786,0.06666666666666667,0.7135831713676453
928,929,0.03333333333333333,0.7393437623977661
930,931,0.03333333333333333,0.6630282402038574
1006,1008,0.06666666666666667,0.9183613061904907
1012,1014,0.06666666666666667,1.1356459856033325
1412,1414,0.06666666666666667,0.8687399625778198
1419,1422,0.1,0.9666005969047546
1427,1431,0.13333333333333333,0.840901792049408
1433,1436,0.1,0.8503723740577698
1439,1442,0.1,0.9154719710350037
1443,1448,0.16666666666666666,1.478508472442627
1454,1455,0.03333333333333333,0.6809300780296326
1457,1459,0.06666666666666667,0.7690635919570923
1469,1470,0.03333333333333333,0.654914379119873
1472,1473,0.03333333333333333,0.6726351976394653
1533,1535,0.06666666666666667,0.8625852465629578
1537,1538,0.03333333333333333,1.0167213678359985
1539,1541,0.06666666666666667,0.9279269576072693
1545,1546,0.03333333333333333,0.6871479749679565
1565,1566,0.03333333333333333,1.0696040391921997
1570,1573,0.1,0.6921703219413757
1620,1624,0.13333333333333333,1.0166147947311401
1674,1675,0.03333333333333333,0.8782379031181335
1680,1681,0.03333333333333333,0.8332061767578125
1691,1692,0.03333333333333333,0.6307376623153687
1793,1794,0.03333333333333333,0.8333165049552917
1799,1802,0.1,1.0887908935546875
1814,1815,0.03333333333333333,0.6446561813354492
1817,1820,0.1,0.7308676242828369
1896,1897,0.03333333333333333,1.2011134624481201
1925,1926,0.03333333333333333,0.62583988904953
1948,1949,0.03333333333333333,0.6306440830230713
2119,2120,0.03333333333333333,0.669083297252655
2505,2512,0.23333333333333334,0.9892802834510803
2513,2516,0.1,0.8547255396842957
2545,2546,0.03333333333333333,0.6300082802772522
2709,2710,0.03333333333333333,1.0309752225875854
2726,2730,0.13333333333333333,1.0166393518447876
2731,2734,0.1,0.9792432188987732
2780,2781,0.03333333333333333,0.6301782727241516
2819,2822,0.1,0.8818389773368835
2904,2907,0.1,0.6977196335792542
2975,2976,0.03333333333333333,0.6798442006111145
3027,3030,0.1,0.6926934123039246
3037,3038,0.03333333333333333,0.628864586353302
3053,3055,0.06666666666666667,0.9420731663703918
3066,3068,0.06666666666666667,0.7451722025871277
3069,3070,0.03333333333333333,0.995378851890564
3072,3073,0.03333333333333333,0.7082641124725342
3085,3086,0.03333333333333333,0.6437394022941589
3120,3122,0.06666666666666667,0.7674155235290527
3153,3163,0.3333333333333333,0.8856199383735657
3164,3167,0.1,1.1455656290054321
3222,3225,0.1,0.8445854187011719
3235,3236,0.03333333333333333,0.6685605049133301
3244,3245,0.03333333333333333,0.6508721113204956
3262,3263,0.03333333333333333,0.6386151909828186
3281,3283,0.06666666666666667,0.7425985336303711
3284,3285,0.03333333333333333,1.0989997386932373
3306,3307,0.03333333333333333,0.8318990468978882
3309,3310,0.03333333333333333,0.8260072469711304
3317,3324,0.23333333333333334,0.8940734267234802
3384,3385,0.03333333333333333,0.8375527262687683
3449,3450,0.03333333333333333,0.7206964492797852
3486,3487,0.03333333333333333,0.8188378214836121
3488,3489,0.03333333333333333,0.7323697805404663
3494,3496,0.06666666666666667,0.7190595865249634
3792,3793,0.03333333333333333,0.6520776748657227
3822,3823,0.03333333333333333,0.6403568387031555
3825,3827,0.06666666666666667,0.6457440853118896
3831,3833,0.06666666666666667,0.8698640465736389
3906,3908,0.06666666666666667,0.7628886699676514
3923,3924,0.03333333333333333,1.0056136846542358
3946,3947,0.03333333333333333,0.6232812404632568
4317,4322,0.16666666666666666,0.9915964007377625
4409,4411,0.06666666666666667,1.0235049724578857
4428,4429,0.03333333333333333,0.8367538452148438
5202,5204,0.06666666666666667,0.7103057503700256
5226,5227,0.03333333333333333,0.7401897311210632
5282,5286,0.13333333333333333,0.982867956161499
5368,5369,0.03333333333333333,0.6458067893981934
