,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11
State_0,0.9796195652173914,0.008152173913043478,0.0,0.001358695652173913,0.004076086956521739,0.0,0.0,0.0,0.0,0.004076086956521739,0.002717391304347826,0.0
State_1,0.002331002331002331,0.9958041958041958,0.0,0.0,0.0009324009324009324,0.0,0.0009324009324009324,0.0,0.0,0.0,0.0,0.0
State_2,0.0,0.0,0.9791666666666666,0.0,0.008680555555555556,0.0,0.008680555555555556,0.0,0.0,0.001736111111111111,0.001736111111111111,0.0
State_3,0.0035842293906810036,0.0,0.0,0.953405017921147,0.007168458781362007,0.0,0.0,0.0,0.0035842293906810036,0.0035842293906810036,0.02867383512544803,0.0
State_4,0.0026595744680851063,0.0026595744680851063,0.010638297872340425,0.005319148936170213,0.925531914893617,0.005319148936170213,0.026595744680851064,0.0,0.0026595744680851063,0.0026595744680851063,0.005319148936170213,0.010638297872340425
State_5,0.0,0.0,0.0,0.0,0.03125,0.96875,0.0,0.0,0.0,0.0,0.0,0.0
State_6,0.0,0.005063291139240506,0.017721518987341773,0.0,0.02278481012658228,0.0,0.9544303797468354,0.0,0.0,0.0,0.0,0.0
State_7,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.9903846153846154,0.0,0.0,0.0,0.0
State_8,0.0,0.0,0.0,0.003076923076923077,0.0,0.0,0.0,0.0,0.9938461538461538,0.0,0.003076923076923077,0.0
State_9,0.006593406593406593,0.0,0.002197802197802198,0.002197802197802198,0.0,0.0,0.002197802197802198,0.0,0.0,0.9846153846153847,0.0,0.002197802197802198
State_10,0.009523809523809525,0.0,0.0031746031746031746,0.022222222222222223,0.0031746031746031746,0.0,0.0,0.0031746031746031746,0.006349206349206349,0.0,0.946031746031746,0.006349206349206349
State_11,0.004878048780487805,0.0,0.0,0.0,0.01951219512195122,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.9658536585365853
